Jsoup_28 | Entities_3.java | OCHIAI: -1.0
Jsoup_28 | Tokeniser_5.java | OCHIAI: -1.0
Jsoup_28 | Entities_7.java | OCHIAI: 0.07302967433402215
Jsoup_28 | Tokeniser_15.java | OCHIAI: 0.22645540682891913
Jsoup_28 | Tokeniser_17.java | OCHIAI: -1.0
Jsoup_28 | Parser_6.java | OCHIAI: 0.0
Jsoup_28 | Parser_3.java | OCHIAI: -1.0
Jsoup_28 | Tokeniser_7.java | OCHIAI: -1.0
Jsoup_28 | Tokeniser_9.java | OCHIAI: 0.0
Jsoup_28 | Entities_2.java | OCHIAI: -1.0
Jsoup_28 | Tokeniser_10.java | OCHIAI: 0.05907961912673912
Jsoup_28 | Tokeniser_14.java | OCHIAI: 0.0
Jsoup_28 | Entities_5.java | OCHIAI: -1.0
Jsoup_28 | Parser_12.java | OCHIAI: -1.0
Jsoup_28 | Tokeniser_6.java | OCHIAI: 0.0
Jsoup_28 | Entities_4.java | OCHIAI: -1.0
Jsoup_28 | Tokeniser_8.java | OCHIAI: -1.0
Jsoup_28 | Tokeniser_12.java | OCHIAI: -1.0
Jsoup_28 | Tokeniser_4.java | OCHIAI: 0.0
Jsoup_28 | Parser_9.java | OCHIAI: -1.0
Jsoup_28 | Tokeniser_13.java | OCHIAI: 0.0
Jsoup_28 | Parser_7.java | OCHIAI: -1.0
Jsoup_28 | Parser_5.java | OCHIAI: -1.0
Jsoup_28 | Entities_1.java | OCHIAI: -1.0
Jsoup_28 | Tokeniser_20.java | OCHIAI: 0.0
Jsoup_28 | Parser_4.java | OCHIAI: -1.0
Jsoup_28 | Tokeniser_11.java | OCHIAI: 0.0
Jsoup_28 | Parser_2.java | OCHIAI: -1.0
Jsoup_28 | Tokeniser_3.java | OCHIAI: 0.0
Jsoup_28 | Entities_6.java | OCHIAI: -1.0
JacksonDatabind_32 | UntypedObjectDeserializer_3.java | OCHIAI: -1.0
JacksonDatabind_32 | UntypedObjectDeserializer_2.java | OCHIAI: -1.0
JacksonDatabind_32 | UntypedObjectDeserializer_4.java | OCHIAI: -1.0
JacksonDatabind_32 | UntypedObjectDeserializer_1.java | OCHIAI: -1.0
Math_54 | Dfp_23.java | OCHIAI: -1.0
Math_54 | Dfp_19.java | OCHIAI: -1.0
Math_54 | Dfp_22.java | OCHIAI: -1.0
Math_54 | Dfp_27.java | OCHIAI: -1.0
Math_54 | Dfp_2.java | OCHIAI: 0.0
Math_54 | Dfp_10.java | OCHIAI: -1.0
Math_54 | Dfp_26.java | OCHIAI: -1.0
Math_54 | Dfp_24.java | OCHIAI: -1.0
Math_54 | Dfp_5.java | OCHIAI: -1.0
Math_54 | Dfp_25.java | OCHIAI: -1.0
Math_54 | Dfp_1.java | OCHIAI: -1.0
Math_54 | Dfp_9.java | OCHIAI: -1.0
Math_54 | Dfp_18.java | OCHIAI: 0.0
Math_54 | Dfp_21.java | OCHIAI: -1.0
Math_54 | Dfp_15.java | OCHIAI: -1.0
Math_54 | Dfp_16.java | OCHIAI: -1.0
Math_54 | Dfp_8.java | OCHIAI: 0.1259881576697424
Math_54 | Dfp_20.java | OCHIAI: -1.0
Math_54 | Dfp_11.java | OCHIAI: 0.1259881576697424
Math_54 | Dfp_6.java | OCHIAI: 0.0
Math_54 | Dfp_14.java | OCHIAI: -1.0
Math_54 | Dfp_13.java | OCHIAI: -1.0
Math_54 | Dfp_17.java | OCHIAI: -1.0
Math_54 | Dfp_4.java | OCHIAI: 0.1259881576697424
Math_54 | Dfp_3.java | OCHIAI: -1.0
Math_54 | Dfp_7.java | OCHIAI: 0.1259881576697424
Math_54 | Dfp_12.java | OCHIAI: 0.0
JacksonXml_5 | XmlSerializerProvider_3.java | OCHIAI: -1.0
